id,appointmentId,status,serviceName,suggestions,departmentName,wouldRecommend,rating,experience,createdAt,userId,id,comment
"IqXl23vHkXtyaBMWCO79","citizen-apt-003","active","Passport Application","rge","Department of Immigration & Emigration","true","5","gre","2025-08-16T18:10:02.480Z","ny4QBNzjJ2UxyTMJnrkpuMG4Ulu2","undefined","undefined"
"citizen-feedback-001","citizen-apt-001","undefined","undefined","undefined","undefined","undefined","5","undefined","2024-11-15T12:00:00.000Z","ny4QBNzjJ2UxyTMJnrkpuMG4Ulu2","citizen-feedback-001","Excellent service! The driving license process was smooth and the staff was very helpful. Highly recommend the digital booking system."
"citizen-feedback-002","citizen-apt-002","undefined","undefined","undefined","undefined","undefined","4","undefined","2024-12-05T15:30:00.000Z","ny4QBNzjJ2UxyTMJnrkpuMG4Ulu2","citizen-feedback-002","Good experience getting my birth certificate. Quick process but had to wait a bit longer than expected."
"citizen-feedback-003","citizen-apt-003","undefined","undefined","undefined","undefined","undefined","5","undefined","2024-12-20T16:00:00.000Z","ny4QBNzjJ2UxyTMJnrkpuMG4Ulu2","citizen-feedback-003","Outstanding passport service! Very professional staff and the online appointment system made everything so convenient."
"demo-feedback-001","demo-appointment-002","undefined","undefined","undefined","undefined","undefined","5","undefined","2025-01-18T11:00:00.000Z","demo-citizen-002","demo-feedback-001","Excellent service! The process was smooth and efficient."
"demo-feedback-002","demo-appointment-001","undefined","undefined","undefined","undefined","undefined","4","undefined","2025-01-20T12:00:00.000Z","demo-citizen-001","demo-feedback-002","Good service, but had to wait a bit longer than expected."
"demo-feedback-003","demo-appointment-100","undefined","undefined","undefined","undefined","undefined","4","undefined","2025-08-12T15:57:29.272Z","demo-citizen-001","demo-feedback-003","Good experience overall, staff was helpful."
"demo-feedback-004","demo-appointment-090","undefined","undefined","undefined","undefined","undefined","1","undefined","2025-07-08T08:15:59.877Z","demo-citizen-001","demo-feedback-004","Average service, met expectations."
"demo-feedback-005","demo-appointment-156","undefined","undefined","undefined","undefined","undefined","3","undefined","2025-08-06T13:12:37.178Z","demo-citizen-001","demo-feedback-005","Process was smooth and well organized."
"demo-feedback-006","demo-appointment-196","undefined","undefined","undefined","undefined","undefined","3","undefined","2025-07-30T10:32:01.338Z","demo-citizen-001","demo-feedback-006","Impressed with the digital system and ease of use."
"demo-feedback-007","demo-appointment-079","undefined","undefined","undefined","undefined","undefined","2","undefined","2025-08-07T05:47:48.230Z","demo-citizen-001","demo-feedback-007","Impressed with the digital system and ease of use."
"demo-feedback-008","demo-appointment-052","undefined","undefined","undefined","undefined","undefined","4","undefined","2025-08-09T22:44:24.002Z","demo-citizen-047","demo-feedback-008","Quick and hassle-free experience."
"demo-feedback-009","demo-appointment-099","undefined","undefined","undefined","undefined","undefined","3","undefined","2025-08-11T21:49:30.234Z","demo-citizen-001","demo-feedback-009","Quick and hassle-free experience."
"demo-feedback-010","demo-appointment-189","undefined","undefined","undefined","undefined","undefined","2","undefined","2025-07-14T16:18:11.662Z","demo-citizen-001","demo-feedback-010","Process was smooth and well organized."
"demo-feedback-011","demo-appointment-128","undefined","undefined","undefined","undefined","undefined","1","undefined","2025-08-16T07:01:27.473Z","demo-citizen-001","demo-feedback-011","Could be improved but generally satisfied."
"demo-feedback-012","demo-appointment-161","undefined","undefined","undefined","undefined","undefined","1","undefined","2025-08-02T08:18:23.137Z","demo-citizen-001","demo-feedback-012","Quick and hassle-free experience."
"demo-feedback-013","demo-appointment-122","undefined","undefined","undefined","undefined","undefined","1","undefined","2025-08-15T21:47:53.878Z","demo-citizen-001","demo-feedback-013","Outstanding service quality and quick processing."
"demo-feedback-014","demo-appointment-123","undefined","undefined","undefined","undefined","undefined","1","undefined","2025-08-08T03:57:36.261Z","demo-citizen-001","demo-feedback-014","Process was smooth and well organized."
"demo-feedback-015","demo-appointment-082","undefined","undefined","undefined","undefined","undefined","3","undefined","2025-06-17T20:33:05.854Z","demo-citizen-001","demo-feedback-015","Average service, met expectations."
"demo-feedback-016","demo-appointment-156","undefined","undefined","undefined","undefined","undefined","1","undefined","2025-08-04T04:47:22.473Z","demo-citizen-001","demo-feedback-016","Impressed with the digital system and ease of use."
"demo-feedback-017","demo-appointment-065","undefined","undefined","undefined","undefined","undefined","3","undefined","2025-08-03T08:11:32.576Z","demo-citizen-001","demo-feedback-017","Good experience overall, staff was helpful."
"demo-feedback-018","demo-appointment-141","undefined","undefined","undefined","undefined","undefined","5","undefined","2025-07-09T19:06:52.940Z","demo-citizen-001","demo-feedback-018","Process was smooth and well organized."
"demo-feedback-019","demo-appointment-030","undefined","undefined","undefined","undefined","undefined","5","undefined","2025-06-21T06:24:20.769Z","demo-citizen-025","demo-feedback-019","Professional handling of my requirements."
"demo-feedback-020","demo-appointment-104","undefined","undefined","undefined","undefined","undefined","3","undefined","2025-06-22T18:36:23.828Z","demo-citizen-001","demo-feedback-020","Average service, met expectations."
"demo-feedback-021","demo-appointment-100","undefined","undefined","undefined","undefined","undefined","3","undefined","2025-08-15T13:25:49.602Z","demo-citizen-001","demo-feedback-021","Could be improved but generally satisfied."
"demo-feedback-022","demo-appointment-100","undefined","undefined","undefined","undefined","undefined","4","undefined","2025-08-14T14:44:23.437Z","demo-citizen-001","demo-feedback-022","Process was smooth and well organized."
"demo-feedback-023","demo-appointment-104","undefined","undefined","undefined","undefined","undefined","2","undefined","2025-06-24T16:09:33.897Z","demo-citizen-001","demo-feedback-023","Quick and hassle-free experience."
"demo-feedback-024","demo-appointment-129","undefined","undefined","undefined","undefined","undefined","3","undefined","2025-06-29T17:42:16.973Z","demo-citizen-001","demo-feedback-024","Could be improved but generally satisfied."
"demo-feedback-025","demo-appointment-175","undefined","undefined","undefined","undefined","undefined","4","undefined","2025-06-20T11:53:31.764Z","demo-citizen-001","demo-feedback-025","Excellent service! Very professional and efficient."
"demo-feedback-026","demo-appointment-011","undefined","undefined","undefined","undefined","undefined","3","undefined","2025-06-30T05:30:37.843Z","demo-citizen-006","demo-feedback-026","Outstanding service quality and quick processing."
"demo-feedback-027","demo-appointment-112","undefined","undefined","undefined","undefined","undefined","2","undefined","2025-07-18T13:04:59.465Z","demo-citizen-001","demo-feedback-027","Outstanding service quality and quick processing."
"demo-feedback-028","demo-appointment-082","undefined","undefined","undefined","undefined","undefined","4","undefined","2025-07-16T12:38:29.882Z","demo-citizen-001","demo-feedback-028","Outstanding service quality and quick processing."
"demo-feedback-029","demo-appointment-174","undefined","undefined","undefined","undefined","undefined","2","undefined","2025-06-17T20:59:48.741Z","demo-citizen-001","demo-feedback-029","Outstanding service quality and quick processing."
"demo-feedback-030","demo-appointment-122","undefined","undefined","undefined","undefined","undefined","3","undefined","2025-07-29T05:59:29.719Z","demo-citizen-001","demo-feedback-030","Excellent service! Very professional and efficient."
"demo-feedback-031","demo-appointment-112","undefined","undefined","undefined","undefined","undefined","1","undefined","2025-07-10T21:54:33.186Z","demo-citizen-001","demo-feedback-031","Process was smooth and well organized."
"demo-feedback-032","demo-appointment-054","undefined","undefined","undefined","undefined","undefined","3","undefined","2025-07-16T20:18:05.233Z","demo-citizen-049","demo-feedback-032","Average service, met expectations."
"demo-feedback-033","demo-appointment-094","undefined","undefined","undefined","undefined","undefined","3","undefined","2025-07-19T12:25:14.960Z","demo-citizen-001","demo-feedback-033","Could be improved but generally satisfied."
"demo-feedback-034","demo-appointment-144","undefined","undefined","undefined","undefined","undefined","3","undefined","2025-08-04T11:16:01.660Z","demo-citizen-001","demo-feedback-034","Excellent service! Very professional and efficient."
"demo-feedback-035","demo-appointment-189","undefined","undefined","undefined","undefined","undefined","2","undefined","2025-07-24T05:13:42.135Z","demo-citizen-001","demo-feedback-035","Professional handling of my requirements."
"demo-feedback-036","demo-appointment-122","undefined","undefined","undefined","undefined","undefined","3","undefined","2025-07-28T23:55:15.218Z","demo-citizen-001","demo-feedback-036","Staff was courteous and knowledgeable."
"demo-feedback-037","demo-appointment-144","undefined","undefined","undefined","undefined","undefined","4","undefined","2025-07-06T14:50:21.324Z","demo-citizen-001","demo-feedback-037","Quick and hassle-free experience."
"demo-feedback-038","demo-appointment-162","undefined","undefined","undefined","undefined","undefined","2","undefined","2025-07-10T12:22:46.422Z","demo-citizen-001","demo-feedback-038","Could be improved but generally satisfied."
"demo-feedback-039","demo-appointment-128","undefined","undefined","undefined","undefined","undefined","2","undefined","2025-07-04T17:20:51.992Z","demo-citizen-001","demo-feedback-039","Excellent service! Very professional and efficient."
"demo-feedback-040","demo-appointment-174","undefined","undefined","undefined","undefined","undefined","4","undefined","2025-06-26T03:51:35.291Z","demo-citizen-001","demo-feedback-040","Average service, met expectations."
"demo-feedback-041","demo-appointment-098","undefined","undefined","undefined","undefined","undefined","2","undefined","2025-06-22T14:14:34.548Z","demo-citizen-001","demo-feedback-041","Impressed with the digital system and ease of use."
"demo-feedback-042","demo-appointment-100","undefined","undefined","undefined","undefined","undefined","3","undefined","2025-08-06T16:07:46.283Z","demo-citizen-001","demo-feedback-042","Good experience overall, staff was helpful."
"demo-feedback-043","demo-appointment-042","undefined","undefined","undefined","undefined","undefined","3","undefined","2025-06-20T20:53:39.030Z","demo-citizen-037","demo-feedback-043","Quick and hassle-free experience."
"demo-feedback-044","demo-appointment-063","undefined","undefined","undefined","undefined","undefined","1","undefined","2025-08-13T15:05:00.339Z","demo-citizen-001","demo-feedback-044","Staff was courteous and knowledgeable."
"demo-feedback-045","demo-appointment-122","undefined","undefined","undefined","undefined","undefined","5","undefined","2025-07-13T05:57:42.936Z","demo-citizen-001","demo-feedback-045","Could be improved but generally satisfied."
"demo-feedback-046","demo-appointment-141","undefined","undefined","undefined","undefined","undefined","2","undefined","2025-08-12T22:45:48.321Z","demo-citizen-001","demo-feedback-046","Professional handling of my requirements."
"demo-feedback-047","demo-appointment-011","undefined","undefined","undefined","undefined","undefined","2","undefined","2025-07-23T01:26:15.882Z","demo-citizen-006","demo-feedback-047","Average service, met expectations."
"demo-feedback-048","demo-appointment-140","undefined","undefined","undefined","undefined","undefined","3","undefined","2025-06-19T23:49:29.766Z","demo-citizen-001","demo-feedback-048","Average service, met expectations."
"demo-feedback-049","demo-appointment-030","undefined","undefined","undefined","undefined","undefined","5","undefined","2025-07-19T08:17:23.095Z","demo-citizen-025","demo-feedback-049","Quick and hassle-free experience."
"demo-feedback-050","demo-appointment-147","undefined","undefined","undefined","undefined","undefined","1","undefined","2025-07-21T00:32:19.493Z","demo-citizen-001","demo-feedback-050","Excellent service! Very professional and efficient."
"demo-feedback-051","demo-appointment-098","undefined","undefined","undefined","undefined","undefined","5","undefined","2025-07-07T19:59:03.989Z","demo-citizen-001","demo-feedback-051","Excellent service! Very professional and efficient."
"demo-feedback-052","demo-appointment-189","undefined","undefined","undefined","undefined","undefined","4","undefined","2025-07-20T06:02:29.386Z","demo-citizen-001","demo-feedback-052","Could be improved but generally satisfied."
"demo-feedback-053","demo-appointment-082","undefined","undefined","undefined","undefined","undefined","1","undefined","2025-07-05T04:56:44.494Z","demo-citizen-001","demo-feedback-053","Excellent service! Very professional and efficient."
"demo-feedback-054","demo-appointment-123","undefined","undefined","undefined","undefined","undefined","2","undefined","2025-07-31T13:15:35.229Z","demo-citizen-001","demo-feedback-054","Quick and hassle-free experience."
"demo-feedback-055","demo-appointment-156","undefined","undefined","undefined","undefined","undefined","5","undefined","2025-07-10T11:15:31.576Z","demo-citizen-001","demo-feedback-055","Staff was courteous and knowledgeable."
"demo-feedback-056","demo-appointment-042","undefined","undefined","undefined","undefined","undefined","4","undefined","2025-07-11T12:45:10.165Z","demo-citizen-037","demo-feedback-056","Impressed with the digital system and ease of use."
"demo-feedback-057","demo-appointment-129","undefined","undefined","undefined","undefined","undefined","4","undefined","2025-08-05T02:26:18.519Z","demo-citizen-001","demo-feedback-057","Impressed with the digital system and ease of use."
