id,userId,qrCode,documents,serviceId,date,id,referenceNumber,status,createdAt,timeSlot,updatedAt,notes,departmentId
"citizen-apt-001","ny4QBNzjJ2UxyTMJnrkpuMG4Ulu2","QR-DL-CITIZEN-20241115","[]","demo-service-driving-license","2024-11-15T10:00:00.000Z","citizen-apt-001","GE-2024-DL-001","completed","2024-11-10T09:00:00.000Z","10:00-11:00","2024-11-15T11:30:00.000Z","First time driving license application - completed successfully","demo-dept-motor-traffic"
"citizen-apt-002","ny4QBNzjJ2UxyTMJnrkpuMG4Ulu2","QR-BC-CITIZEN-20241205","[]","demo-service-birth-certificate","2024-12-05T14:00:00.000Z","citizen-apt-002","GE-2024-BC-002","completed","2024-11-28T16:00:00.000Z","14:00-14:20","2024-12-05T14:45:00.000Z","Birth certificate for passport application - completed","demo-dept-registrar-general"
"citizen-apt-003","ny4QBNzjJ2UxyTMJnrkpuMG4Ulu2","QR-PP-CITIZEN-20241220","[]","demo-service-passport-application","2024-12-20T09:30:00.000Z","citizen-apt-003","GE-2024-PP-003","completed","2024-12-10T11:00:00.000Z","09:30-10:00","2024-12-20T11:00:00.000Z","New passport application - approved and completed","demo-dept-immigration"
"citizen-apt-004","ny4QBNzjJ2UxyTMJnrkpuMG4Ulu2","QR-VR-CITIZEN-20250218","[]","demo-service-vehicle-registration","2025-02-18T11:00:00.000Z","citizen-apt-004","GE-2025-VR-004","confirmed","2025-01-20T10:00:00.000Z","11:00-11:45","2025-01-20T15:30:00.000Z","New vehicle registration for Honda Civic 2024","demo-dept-motor-traffic"
"citizen-apt-005","ny4QBNzjJ2UxyTMJnrkpuMG4Ulu2","QR-TR-CITIZEN-20250225","[]","demo-service-tax-registration","2025-02-25T15:00:00.000Z","citizen-apt-005","GE-2025-TR-005","confirmed","2025-01-22T14:00:00.000Z","15:00-15:35","2025-01-22T16:00:00.000Z","Business tax registration for new consulting firm","demo-dept-inland-revenue"
"citizen-apt-006","ny4QBNzjJ2UxyTMJnrkpuMG4Ulu2","QR-MC-CITIZEN-20250310","[]","demo-service-marriage-certificate","2025-03-10T13:30:00.000Z","citizen-apt-006","GE-2025-MC-006","pending","2025-01-25T09:00:00.000Z","13:30-14:00","2025-01-25T09:00:00.000Z","Marriage certificate application - pending officer approval","demo-dept-registrar-general"
"citizen-apt-007","ny4QBNzjJ2UxyTMJnrkpuMG4Ulu2","QR-PR-CITIZEN-20250315","[]","demo-service-passport-renewal","2025-03-15T10:30:00.000Z","citizen-apt-007","GE-2025-PR-007","pending","2025-01-28T11:30:00.000Z","10:30-10:55","2025-01-28T11:30:00.000Z","Passport renewal - submitted for processing","demo-dept-immigration"
"demo-appointment-001","demo-citizen-001","QR-DL-001-20250120","[]","demo-service-driving-license","2025-01-20T10:00:00.000Z","demo-appointment-001","GE-2025-001","confirmed","2025-01-15T12:00:00.000Z","10:00-11:00","2025-01-15T14:00:00.000Z","First time driving license application","demo-dept-motor-traffic"
"demo-appointment-002","demo-citizen-002","QR-VR-002-20250118","[]","demo-service-vehicle-registration","2025-01-18T09:00:00.000Z","demo-appointment-002","GE-2025-002","completed","2025-01-12T08:00:00.000Z","09:00-09:45","2025-01-18T10:00:00.000Z","New car registration","demo-dept-motor-traffic"
"demo-appointment-003","demo-citizen-003","QR-BC-003-20250122","[]","demo-service-birth-certificate","2025-01-22T11:00:00.000Z","demo-appointment-003","GE-2025-003","confirmed","2025-01-17T14:30:00.000Z","11:00-11:20","2025-01-17T16:00:00.000Z","Birth certificate for passport application","demo-dept-registrar-general"
"demo-appointment-004","demo-citizen-004","QR-PP-004-20250125","[]","demo-service-passport-application","2025-01-25T14:00:00.000Z","demo-appointment-004","GE-2025-004","pending","2025-01-19T10:15:00.000Z","14:00-14:30","2025-01-19T10:15:00.000Z","New passport application","demo-dept-immigration"
"demo-appointment-005","demo-citizen-005","QR-TR-005-20250124","[]","demo-service-tax-registration","2025-01-24T13:30:00.000Z","demo-appointment-005","GE-2025-005","pending","2025-01-19T10:15:00.000Z","13:30-14:05","2025-01-19T10:15:00.000Z","Business tax registration","demo-dept-inland-revenue"
